system:index,all_daytime_UHI,.geo
83,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,-0.79163713463938,"{""type"":""MultiPoint"",""coordinates"":[]}"
